Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
   96.00     0.00       3.252763E-01       1.930931E-01       5.095739E-02       5.057000E-02
   97.00     0.00       3.210649E-01       1.863574E-01       5.547045E-02       4.889990E-02
   98.00     0.00       3.163043E-01       1.796518E-01       5.945495E-02       4.771668E-02
   99.00     0.00       3.111701E-01       1.726891E-01       6.268419E-02       4.671182E-02
  100.00     0.00       3.058881E-01       1.652073E-01       6.513756E-02       4.544724E-02
  101.00     0.00       3.008255E-01       1.571072E-01       6.703469E-02       4.355204E-02
  102.00     0.00       2.963697E-01       1.484840E-01       6.876937E-02       4.082716E-02
  103.00     0.00       2.928336E-01       1.396241E-01       7.079459E-02       3.731679E-02
  104.00     0.00       2.903677E-01       1.309571E-01       7.348443E-02       3.330931E-02
  105.00     0.00       2.888676E-01       1.229462E-01       7.700651E-02       2.925175E-02
  106.00     0.00       2.880966E-01       1.160187E-01       8.128533E-02       2.566398E-02
  107.00     0.00       2.875233E-01       1.104435E-01       8.596393E-02       2.294252E-02
  108.00     0.00       2.865576E-01       1.062164E-01       9.052070E-02       2.126396E-02
  109.00     0.00       2.846521E-01       1.030531E-01       9.439896E-02       2.051645E-02
  110.00     0.00       2.814369E-01       1.004323E-01       9.716047E-02       2.031561E-02
  111.00     0.00       2.768205E-01       9.770486E-02       9.861156E-02       2.009733E-02
  112.00     0.00       2.710033E-01       9.425513E-02       9.886826E-02       1.925391E-02
  113.00     0.00       2.645208E-01       8.955759E-02       9.833603E-02       1.732086E-02
  114.00     0.00       2.580265E-01       8.347522E-02       9.761422E-02       1.407788E-02
  115.00     0.00       2.522030E-01       7.614972E-02       9.734960E-02       9.628378E-03
  116.00     0.00       2.475999E-01       6.802502E-02       9.807360E-02       4.385690E-03
  117.00     0.00       2.445118E-01       5.975353E-02       1.000655E-01      -1.016873E-03
  118.00     0.00       2.429126E-01       5.205874E-02       1.032751E-01      -5.870432E-03
  119.00     0.00       2.424592E-01       4.558575E-02       1.073225E-01      -9.554291E-03
  120.00     0.00       2.425506E-01       4.079773E-02       1.115723E-01      -1.168131E-02
  121.00     0.00       2.424630E-01       3.776423E-02       1.152764E-01      -1.218931E-02
  122.00     0.00       2.414939E-01       3.635437E-02       1.177255E-01      -1.135717E-02
  123.00     0.00       2.390681E-01       3.610845E-02       1.184026E-01      -9.754537E-03
  124.00     0.00       2.348564E-01       3.637428E-02       1.170911E-01      -8.124218E-03
  125.00     0.00       2.288288E-01       3.642881E-02       1.139198E-01      -7.232255E-03
  126.00     0.00       2.212519E-01       3.560783E-02       1.093360E-01      -7.716352E-03
  127.00     0.00       2.126329E-01       3.341924E-02       1.040176E-01      -9.963539E-03
  128.00     0.00       2.036251E-01       2.962052E-02       9.874319E-02      -1.403987E-02
  129.00     0.00       1.949172E-01       2.428171E-02       9.424845E-02      -1.968054E-02
  130.00     0.00       1.870757E-01       1.763166E-02       9.109330E-02      -2.635242E-02
  131.00     0.00       1.805619E-01       1.020200E-02       8.957760E-02      -3.333852E-02
  132.00     0.00       1.755696E-01       2.601477E-03       8.969268E-02      -3.987304E-02
  133.00     0.00       1.720518E-01      -4.553786E-03       9.113579E-02      -4.526394E-02
  134.00     0.00       1.697399E-01      -1.072966E-02       9.337143E-02      -4.899871E-02
  135.00     0.00       1.682010E-01      -1.554730E-02       9.572487E-02      -5.081349E-02
  136.00     0.00       1.669138E-01      -1.882540E-02       9.749051E-02      -5.071816E-02
  137.00     0.00       1.653508E-01      -2.058906E-02       9.803622E-02      -4.897791E-02
  138.00     0.00       1.630527E-01      -2.104785E-02       9.688781E-02      -4.605862E-02
  139.00     0.00       1.597146E-01      -2.051698E-02       9.378262E-02      -4.254565E-02
  140.00     0.00       1.550743E-01      -1.947653E-02       8.868671E-02      -3.906568E-02
  141.00     0.00       1.491758E-01      -1.834958E-02       8.178910E-02      -3.619280E-02
  142.00     0.00       1.421566E-01      -1.753550E-02       7.345210E-02      -3.438524E-02
  143.00     0.00       1.342726E-01      -1.734747E-02       6.415552E-02      -3.394004E-02
  144.00     0.00       1.258551E-01      -1.798484E-02       5.443057E-02      -3.497359E-02
  145.00     0.00       1.172643E-01      -1.952346E-02       4.479590E-02      -3.742643E-02
  146.00     0.00       1.088470E-01      -2.192225E-02       3.570374E-02      -4.108810E-02
  147.00     0.00       1.009022E-01      -2.504237E-02       2.750107E-02      -4.563580E-02
  148.00     0.00       9.365709E-02      -2.867436E-02       2.040797E-02      -5.067997E-02
